subject,predicate,object
https://wormbase.org/wbinter/000578940,http://www.w3.org/2000/01/rdf-schema#type,Physical
https://wormbase.org/wbinter/000578940,http://www.semanticweb.org/needed-terms#001,https://wormbase.org/species/c_elegans/gene/WBGene00019118
https://wormbase.org/wbinter/000578940,http://www.semanticweb.org/needed-terms#001,https://wormbase.org/species/c_elegans/gene/WBGene00000499
https://wormbase.org/wbinter/000578940,http://semanticscience.org/resource/SIO_000628,http://semanticscience.org/resource/SIO_010043
https://wormbase.org/wbdata/expr_graph-3632624,http://semanticscience.org/resource/SIO_000300,1e-10
https://wormbase.org/wbdata/expr_graph-3632624,http://www.semanticweb.org/needed-terms#001,https://wormbase.org/species/c_elegans/gene/WBGene00049598
https://wormbase.org/wbdata/expr_graph-3632624,http://www.semanticweb.org/needed-terms#002,https://wormbase.org/search/life_stage/150
b0,http://www.w3.org/2002/07/owl#annotatedTarget,activation of protein homotetramer biosynthetic process
b0,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Axiom
b0,http://www.geneontology.org/formats/oboInOwl#hasDbXref,GOC:TermGenie
